dataset,Condition,Self_role,Other_role,self_weight,other_weight,caseID,Self_utility_label_0,self_utility_label_1,Other_utility_label_0,other_utility_label_1,joint_utility_label_0,joint_utility_label_1,final_decision,self_utility,other utility,joint_utility,oracle_joint_utility,joint_regret,expected_joint_decision,direction_matches_final,selected_model_seed,model_self_utility,model_other_utility,self_v0_model_seed,other_v0_model_seed,self_v0_model_utility,final_model_self_sacrifice,negotiate_alignment,flag
acs_coverage,self_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",4,0.8792307692307691,0.13611111111111113,0.2792307692307693,0.736111111111111,0.5792307692307692,0.4361111111111111,0,0.8792307692307691,0.2792307692307693,0.5792307692307692,0.5792307692307692,0,,,2,0.736111111111111,0.35277777777777786,,,,,,
acs_coverage,multi_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",4,0.8792307692307691,0.13611111111111113,0.2792307692307693,0.736111111111111,0.5792307692307692,0.4361111111111111,0,0.8792307692307691,0.2792307692307693,0.5792307692307692,0.5792307692307692,0,,,2,0.736111111111111,0.35277777777777786,,,,,,
acs_coverage,aggregate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",4,0.8792307692307691,0.13611111111111113,0.2792307692307693,0.736111111111111,0.5792307692307692,0.4361111111111111,0,0.8792307692307691,0.2792307692307693,0.5792307692307692,0.5792307692307692,0,,,,,,,,,,,
acs_coverage,negotiate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",4,0.8792307692307691,0.13611111111111113,0.2792307692307693,0.736111111111111,0.5792307692307692,0.4361111111111111,1,0.13611111111111113,0.736111111111111,0.4361111111111111,0.5792307692307692,0.1431196581196581,1,1,12,0.5200196256038648,0.6773112922705314,2,12,0.736111111111111,0.21609148550724622,other,
acs_coverage,single,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",5,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,0,0.17183673469387756,0.17183673469387756,0.17183673469387756,0.8283333333333333,0.6564965986394558,,,1,0.6509208937198069,0.4238375603864735,,,,,,
acs_coverage,self_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",5,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,0,0.17183673469387756,0.17183673469387756,0.17183673469387756,0.8283333333333333,0.6564965986394558,,,2,0.736111111111111,0.35277777777777786,,,,,,
acs_coverage,multi_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",5,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,0,0.17183673469387756,0.17183673469387756,0.17183673469387756,0.8283333333333333,0.6564965986394558,,,2,0.736111111111111,0.35277777777777786,,,,,,
acs_coverage,aggregate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",5,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,0,0.17183673469387756,0.17183673469387756,0.17183673469387756,0.8283333333333333,0.6564965986394558,,,,,,,,,,,
acs_coverage,negotiate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",5,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,0.17183673469387756,0.8283333333333333,1,0.8283333333333333,0.8283333333333333,0.8283333333333333,0.8283333333333333,0,1,1,12,0.5233529589371981,0.6806446256038647,2,12,0.736111111111111,0.21275815217391292,other,
acs_coverage,single,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",6,0.8843055555555555,0.13237179487179487,0.2843055555555556,0.7323717948717948,0.5843055555555555,0.43237179487179483,0,0.8843055555555555,0.2843055555555556,0.5843055555555555,0.5843055555555555,0,,,1,0.6409208937198069,0.4138375603864735,,,,,,
acs_coverage,self_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",6,0.8843055555555555,0.13237179487179487,0.2843055555555556,0.7323717948717948,0.5843055555555555,0.43237179487179483,0,0.8843055555555555,0.2843055555555556,0.5843055555555555,0.5843055555555555,0,,,260,0.7292708333333334,0.3698958333333334,,,,,,
acs_coverage,multi_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",6,0.8843055555555555,0.13237179487179487,0.2843055555555556,0.7323717948717948,0.5843055555555555,0.43237179487179483,0,0.8843055555555555,0.2843055555555556,0.5843055555555555,0.5843055555555555,0,,,260,0.7292708333333334,0.3698958333333334,,,,,,
acs_coverage,aggregate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",6,0.8843055555555555,0.13237179487179487,0.2843055555555556,0.7323717948717948,0.5843055555555555,0.43237179487179483,0,0.8843055555555555,0.2843055555555556,0.5843055555555555,0.5843055555555555,0,,,,,,,,,,,
acs_coverage,negotiate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",6,0.8843055555555555,0.13237179487179487,0.2843055555555556,0.7323717948717948,0.5843055555555555,0.43237179487179483,1,0.13237179487179487,0.7323717948717948,0.43237179487179483,0.5843055555555555,0.1519337606837607,1,1,12,0.5233529589371981,0.6806446256038647,260,12,0.7292708333333334,0.2059178743961353,other,
acs_coverage,single,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",7,0.8848427672955974,0.1325531914893617,0.2848427672955975,0.7325531914893617,0.5848427672955975,0.4325531914893617,0,0.8848427672955974,0.2848427672955975,0.5848427672955975,0.5848427672955975,0,,,1,0.6509208937198069,0.4238375603864735,,,,,,
acs_coverage,self_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",7,0.8848427672955974,0.1325531914893617,0.2848427672955975,0.7325531914893617,0.5848427672955975,0.4325531914893617,0,0.8848427672955974,0.2848427672955975,0.5848427672955975,0.5848427672955975,0,,,260,0.7392708333333334,0.3798958333333334,,,,,,
acs_coverage,multi_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",7,0.8848427672955974,0.1325531914893617,0.2848427672955975,0.7325531914893617,0.5848427672955975,0.4325531914893617,0,0.8848427672955974,0.2848427672955975,0.5848427672955975,0.5848427672955975,0,,,260,0.7392708333333334,0.3798958333333334,,,,,,
acs_coverage,aggregate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",7,0.8848427672955974,0.1325531914893617,0.2848427672955975,0.7325531914893617,0.5848427672955975,0.4325531914893617,0,0.8848427672955974,0.2848427672955975,0.5848427672955975,0.5848427672955975,0,,,,,,,,,,,
acs_coverage,negotiate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",7,0.8848427672955974,0.1325531914893617,0.2848427672955975,0.7325531914893617,0.5848427672955975,0.4325531914893617,1,0.1325531914893617,0.7325531914893617,0.4325531914893617,0.5848427672955975,0.15228957580623576,1,1,12,0.5266862922705314,0.683977958937198,260,12,0.7392708333333334,0.212584541062802,other,
acs_coverage,single,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",8,0.8792424242424242,0.12944444444444445,0.2792424242424243,0.7294444444444445,0.5792424242424242,0.42944444444444446,0,0.8792424242424242,0.2792424242424243,0.5792424242424242,0.5792424242424242,0,,,1,0.6509208937198069,0.4238375603864735,,,,,,
acs_coverage,self_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",8,0.8792424242424242,0.12944444444444445,0.2792424242424243,0.7294444444444445,0.5792424242424242,0.42944444444444446,0,0.8792424242424242,0.2792424242424243,0.5792424242424242,0.5792424242424242,0,,,260,0.7426041666666667,0.38322916666666673,,,,,,
acs_coverage,multi_optimal,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",8,0.8792424242424242,0.12944444444444445,0.2792424242424243,0.7294444444444445,0.5792424242424242,0.42944444444444446,0,0.8792424242424242,0.2792424242424243,0.5792424242424242,0.5792424242424242,0,,,260,0.7426041666666667,0.38322916666666673,,,,,,
acs_coverage,aggregate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",8,0.8792424242424242,0.12944444444444445,0.2792424242424243,0.7294444444444445,0.5792424242424242,0.42944444444444446,0,0.8792424242424242,0.2792424242424243,0.5792424242424242,0.5792424242424242,0,,,,,,,,,,,
acs_coverage,negotiate,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",8,0.8792424242424242,0.12944444444444445,0.2792424242424243,0.7294444444444445,0.5792424242424242,0.42944444444444446,1,0.12944444444444445,0.7294444444444445,0.42944444444444446,0.5792424242424242,0.14979797979797976,1,1,12,0.5233529589371981,0.6806446256038647,260,12,0.7426041666666667,0.2192512077294686,other,
acs_coverage,single,judges,community_members,"{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}",9,0.8993333333333333,0.10333333333333333,0.29933333333333334,0.7033333333333333,0.5993333333333333,0.4033333333333333,0,0.8993333333333333,0.29933333333333334,0.5993333333333333,0.5993333333333333,0,,,1,0.6542542270531402,0.4271708937198068,,,,,,
