dataset,Condition,Self_role,Other_role,self_weight,other_weight,caseID,Self_utility_label_0,self_utility_label_1,Other_utility_label_0,other_utility_label_1,joint_utility_label_0,joint_utility_label_1,final_decision,self_utility,other utility,joint_utility,oracle_joint_utility,joint_regret,expected_joint_decision,direction_matches_final,selected_model_seed,model_self_utility,model_other_utility,self_v0_model_seed,other_v0_model_seed,self_v0_model_utility,final_model_self_sacrifice,negotiate_alignment,flag,avg_utility,Nash_utility,source_caseID,selection_alignment,selection_model_self_sacrifice,selection_score
acs_coverage,single,community_members,fairness_advocates,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.7}",6,0.295959595959596,0.7166666666666667,0.8717171717171717,0.21666666666666667,0.5838383838383838,0.4666666666666667,0,0.295959595959596,0.8717171717171717,0.5838383838383838,0.5838383838383838,0,,,1,0.5047265844689596,0.8487265844689595,,,,,,,0.5838383838383838,0.25799306193245586,95,other,0.01975773307376172,0.3487069920489777
acs_coverage,self_optimal,community_members,fairness_advocates,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.7}",6,0.295959595959596,0.7166666666666667,0.8717171717171717,0.21666666666666667,0.5838383838383838,0.4666666666666667,1,0.7166666666666667,0.21666666666666667,0.4666666666666667,0.5838383838383838,0.11717171717171715,,,12,0.5826582305861996,0.29865823058619945,,,,,,,0.4666666666666667,0.1552777777777778,95,other,0.01975773307376172,0.3487069920489777
acs_coverage,multi_optimal,community_members,fairness_advocates,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.7}",6,0.295959595959596,0.7166666666666667,0.8717171717171717,0.21666666666666667,0.5838383838383838,0.4666666666666667,1,0.7166666666666667,0.21666666666666667,0.4666666666666667,0.5838383838383838,0.11717171717171715,,,12,0.5826582305861996,0.29865823058619945,,,,,,,0.4666666666666667,0.1552777777777778,95,other,0.01975773307376172,0.3487069920489777
acs_coverage,aggregate,community_members,fairness_advocates,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.7}",6,0.295959595959596,0.7166666666666667,0.8717171717171717,0.21666666666666667,0.5838383838383838,0.4666666666666667,0,0.295959595959596,0.8717171717171717,0.5838383838383838,0.5838383838383838,0,,,,,,,,,,,,0.5838383838383838,0.25799306193245586,95,other,0.01975773307376172,0.3487069920489777
acs_coverage,negotiate,community_members,fairness_advocates,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.7}",6,0.295959595959596,0.7166666666666667,0.8717171717171717,0.21666666666666667,0.5838383838383838,0.4666666666666667,0,0.295959595959596,0.8717171717171717,0.5838383838383838,0.5838383838383838,0,0,1,109,0.5629004975124379,0.8589004975124378,12,533,0.5826582305861996,0.01975773307376172,other,,0.5838383838383838,0.25799306193245586,95,other,0.01975773307376172,0.3487069920489777
acs_coverage,single,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",7,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,0,0.1970682730923695,0.1970682730923695,0.1970682730923695,0.8076470588235294,0.6105787857311599,,,1,0.5215775457694046,0.6618828029768665,,,,,,,0.1970682730923695,0.03883590425960872,644,self,0.0,0.3060091632744622
acs_coverage,self_optimal,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",7,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,1,0.8076470588235294,0.8076470588235294,0.8076470588235294,0.8076470588235294,0,,,173,0.7128819008456021,0.5260531840564558,,,,,,,0.8076470588235294,0.6522937716262975,644,self,0.0,0.3060091632744622
acs_coverage,multi_optimal,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",7,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,1,0.8076470588235294,0.8076470588235294,0.8076470588235294,0.8076470588235294,0,,,173,0.7128819008456021,0.5260531840564558,,,,,,,0.8076470588235294,0.6522937716262975,644,self,0.0,0.3060091632744622
acs_coverage,aggregate,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",7,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,1,0.8076470588235294,0.8076470588235294,0.8076470588235294,0.8076470588235294,0,,,,,,,,,,,,0.8076470588235294,0.6522937716262975,644,self,0.0,0.3060091632744622
acs_coverage,negotiate,community_members,judges,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.7,""tpr"":0.1,""tnr"":0.1,""local_consistency"":0.1}",7,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,0.1970682730923695,0.8076470588235294,1,0.8076470588235294,0.8076470588235294,0.8076470588235294,0.8076470588235294,0,1,1,173,0.7128819008456021,0.5260531840564558,173,36,0.7128819008456021,0,self,,0.8076470588235294,0.6522937716262975,644,self,0.0,0.3060091632744622
acs_coverage,single,community_members,defendants,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.7,""local_consistency"":0.1}",8,0.2893560606060606,0.768611111111111,0.8893560606060605,0.1686111111111111,0.5893560606060606,0.4686111111111111,0,0.2893560606060606,0.8893560606060605,0.5893560606060606,0.5893560606060606,0,,,1,0.5199510923494294,0.7979893180977164,,,,,,,0.5893560606060606,0.2573405661730946,550,other,0.08269544793515449,0.35865227603242267
acs_coverage,self_optimal,community_members,defendants,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.7,""local_consistency"":0.1}",8,0.2893560606060606,0.768611111111111,0.8893560606060605,0.1686111111111111,0.5893560606060606,0.4686111111111111,1,0.768611111111111,0.1686111111111111,0.4686111111111111,0.5893560606060606,0.12074494949494952,,,393,0.7018884599157612,0.6391946265223244,,,,,,,0.4686111111111111,0.1295963734567901,550,other,0.08269544793515449,0.35865227603242267
acs_coverage,multi_optimal,community_members,defendants,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.7,""local_consistency"":0.1}",8,0.2893560606060606,0.768611111111111,0.8893560606060605,0.1686111111111111,0.5893560606060606,0.4686111111111111,1,0.768611111111111,0.1686111111111111,0.4686111111111111,0.5893560606060606,0.12074494949494952,,,393,0.7018884599157612,0.6391946265223244,,,,,,,0.4686111111111111,0.1295963734567901,550,other,0.08269544793515449,0.35865227603242267
acs_coverage,aggregate,community_members,defendants,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.7,""local_consistency"":0.1}",8,0.2893560606060606,0.768611111111111,0.8893560606060605,0.1686111111111111,0.5893560606060606,0.4686111111111111,1,0.768611111111111,0.1686111111111111,0.4686111111111111,0.5893560606060606,0.12074494949494952,,,,,,,,,,,,0.4686111111111111,0.1295963734567901,550,other,0.08269544793515449,0.35865227603242267
acs_coverage,negotiate,community_members,defendants,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.7,""local_consistency"":0.1}",8,0.2893560606060606,0.768611111111111,0.8893560606060605,0.1686111111111111,0.5893560606060606,0.4686111111111111,0,0.2893560606060606,0.8893560606060605,0.5893560606060606,0.5893560606060606,0,0,1,260,0.6191930119806067,0.8196618183275234,393,15,0.7018884599157612,0.08269544793515449,other,,0.5893560606060606,0.2573405661730946,550,other,0.08269544793515449,0.35865227603242267
acs_coverage,single,community_members,defendants,"{""accuracy"":0.1,""tpr"":0.7,""tnr"":0.1,""local_consistency"":0.1}","{""accuracy"":0.1,""tpr"":0.1,""tnr"":0.7,""local_consistency"":0.1}",9,0.29434108527131786,0.7152046783625731,0.8943410852713178,0.1152046783625731,0.5943410852713178,0.4152046783625731,1,0.7152046783625731,0.1152046783625731,0.4152046783625731,0.5943410852713178,0.17913640690874472,,,1,0.42554605887939223,0.7412155745489079,,,,,,,0.4152046783625731,0.08239492493416778,840,other,0.06771130104463441,0.456140051381699
